Date,GDP
1982-01-01,-0.0019860900543704485
1982-04-01,0.017612914141700964
1982-07-01,0.01030921028147902
1982-10-01,0.010765161502672482
1983-01-01,0.02082313880632869
1983-04-01,0.03035486997946979
1983-07-01,0.030828635359758216
1983-10-01,0.028604467281202473
1984-01-01,0.029870034727328187
1984-04-01,0.02598403195042831
1984-07-01,0.01861756319394381
1984-10-01,0.015743649384831748
1985-01-01,0.019673616161401952
1985-04-01,0.015299392364558573
1985-07-01,0.02139427649668102
1985-10-01,0.013066780524089161
1986-01-01,0.014356131981006826
1986-04-01,0.008306761427841813
1986-07-01,0.013712725560684147
1986-10-01,0.010842358685053233
1987-01-01,0.0138544799744591
1987-04-01,0.017789331822159138
1987-07-01,0.016311358756262884
1987-10-01,0.025271288786798518
1988-01-01,0.01305472810071251
1988-04-01,0.022995356934204736
1988-07-01,0.017880222796142542
1988-10-01,0.022085490082503156
1989-01-01,0.020695215064925554
1989-04-01,0.018364244936677654
1989-07-01,0.014771055060852856
1989-10-01,0.009107756921637122
1990-01-01,0.02183031602838037
1990-04-01,0.014869989124254746
1990-07-01,0.009242909597068971
1990-10-01,-0.0017261512496183906
1991-01-01,0.005070167149813454
1991-04-01,0.015191598325682953
1991-07-01,0.01290628057233878
1991-10-01,0.009443054288176045
1992-01-01,0.01573331800898381
1992-04-01,0.016919577903984795
1992-07-01,0.014817108894267683
1992-10-01,0.01738514409421832
1993-01-01,0.0072829568541386
1993-04-01,0.011810756258415545
1993-07-01,0.010744552124787754
1993-10-01,0.01912788803646781
1994-01-01,0.014530625466762315
1994-04-01,0.018449328325780945
1994-07-01,0.011610984015164583
1994-10-01,0.016943354146561118
1995-01-01,0.008987043827146657
1995-04-01,0.007804539283188694
1995-07-01,0.01347157900207585
1995-10-01,0.01164382982184975
1996-01-01,0.012335920117191534
1996-04-01,0.020889962315408628
1996-07-01,0.012270629067677286
1996-10-01,0.0157860729654693
1997-01-01,0.012456035403402899
1997-04-01,0.01867469123143306
1997-07-01,0.016903504884769882
1997-10-01,0.011899585158325232
1998-01-01,0.011473199521738087
1998-04-01,0.011641485685413011
1998-07-01,0.016878827260535578
1998-10-01,0.018955395387199703
1999-01-01,0.013263731372238352
1999-04-01,0.011350218067583073
1999-07-01,0.016558324562648608
1999-10-01,0.02246697327454572
2000-01-01,0.010453080991553065
2000-04-01,0.02447520743323639
2000-07-01,0.007040228328775822
2000-10-01,0.011550583464351227
2001-01-01,0.0032430231750570915
2001-04-01,0.011930148338389124
2001-07-01,-0.0001441805684224695
2001-10-01,0.006039847516499552
2002-01-01,0.012068897912196341
2002-04-01,0.009663125760500213
2002-07-01,0.009073911842490512
2002-10-01,0.007224493408918731
2003-01-01,0.010120071755647775
2003-04-01,0.011567748828699376
2003-07-01,0.022492160480868106
2003-10-01,0.017458572534395422
2004-01-01,0.012821010639992636
2004-04-01,0.01584021166142846
2004-07-01,0.016050310401687584
2004-10-01,0.017806953233837186
2005-01-01,0.019078732753440297
2005-04-01,0.011651208646868305
2005-07-01,0.018036452610227904
2005-10-01,0.014414123913394139
2006-01-01,0.020372829446886787
2006-04-01,0.01072285492732128
2006-07-01,0.008557429828464302
2006-10-01,0.012241527275092645
2007-01-01,0.012206184867838532
2007-04-01,0.01223163289702156
2007-07-01,0.010612998712381305
2007-10-01,0.01007897968786109
2008-01-01,-0.002074855970108369
2008-04-01,0.01055024152212014
2008-07-01,0.001997621037051367
2008-10-01,-0.018580419646884172
2009-01-01,-0.011332498554384673
2009-04-01,-0.0028967219322705295
2009-07-01,0.0047002511696283555
2009-10-01,0.014403918583731024
2010-01-01,0.006380152175061715
2010-04-01,0.013908235318092377
2010-07-01,0.010305372509278765
2010-10-01,0.01067154414709326
2011-01-01,0.0029516083854417285
2011-04-01,0.0137618322016968
2011-07-01,0.006173195228839967
2011-10-01,0.013122881505401862
2012-01-01,0.014135951979114436
2012-04-01,0.00827097388112863
2012-07-01,0.006494076957789918
2012-10-01,0.006256446778405422
2013-01-01,0.012881579850628988
2013-04-01,0.004124121108360468
2013-07-01,0.012671170673556276
2013-10-01,0.013911360060699929
2014-01-01,0.0012537509943286729
2014-04-01,0.0191968747506146
2014-07-01,0.01656338595010154
2014-10-01,0.007237190066369026
2015-01-01,0.008598753876209342
2015-04-01,0.012229801716887145
2015-07-01,0.006796031317013007
2015-10-01,0.0017102127410248968
2016-01-01,0.004970563099240044
2016-04-01,0.01007306056321311
2016-07-01,0.008852388912708786
2016-10-01,0.011222409603897532
2017-01-01,0.010763385731203945
2017-04-01,0.007370889102419342
2017-07-01,0.012284078130650355
2017-10-01,0.016346551062511816
2018-01-01,0.015259934026359723
2018-04-01,0.015336167509336418
2018-07-01,0.009247954509814305
2018-10-01,0.008057283510944924
2019-01-01,0.009825798392748109
2019-04-01,0.01016172673580118
2019-07-01,0.009866348502619138
2019-10-01,0.009613086153528405
2020-01-01,-0.008564474437718905
2020-04-01,-0.09466220685280136
2020-07-01,0.08388890556684259
